Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2017-12-20,LTCEUR,309,313.88,263.02,285,164.56,47625.81
2017-12-19,LTCEUR,299,339.87,272,309,112.06,34064.43
2017-12-18,LTCEUR,260.65,299,245,299,77.9,21240.45
2017-12-17,LTCEUR,241.99,260.65,238.35,260.65,120.3,30406.77
2017-12-16,LTCEUR,245.26,254.1,225.51,241.99,65.41,16225.71
2017-12-15,LTCEUR,238.99,256.85,206.01,245.26,287.91,69929.07
2017-12-14,LTCEUR,268.5,268.5,200,238.99,105.43,24711.87
2017-12-13,LTCEUR,250,290,235,268.5,84.9,22082.57
2017-12-12,LTCEUR,178.76,300,169.01,250,179.18,42312.66
2017-12-11,LTCEUR,116.03,199,116.03,178.76,226.15,34783.98
2017-12-10,LTCEUR,128.95,132.98,115,116.03,13.19,1655.89
2017-12-09,LTCEUR,110.9,159,105.5,128.95,96.86,12014.61
2017-12-08,LTCEUR,84.94,112,80,110.9,140.51,13908.46
2017-12-07,LTCEUR,87.6,87.98,77.26,84.94,46.33,3815.21
2017-12-06,LTCEUR,85.1,89.49,82.1,87.6,45.05,3909.89
